"name","description","price","imageUrl","category","quantityInStock"
"Alpine Trekker Hiking Boots","Experience peak comfort with Alpine Trekker Hiking Boots. Crafted for tough trails, excellent foot support & grip.",110.99,"https://example.com/hiking1.jpg","HIKING",100
"Mountaineer's Hiking Backpack","Mountaineer's Hiking Backpack offers superior storage, durability and comfort. Ideal for long hikes & expeditions.",79.99,"https://example.com/hiking2.jpg","HIKING",100
"Trek Support Hiking Poles","Stay stable on any terrain with Trek Support Hiking Poles. Lightweight design, adjustable height, ergonomic grips.",49.99,"https://example.com/hiking3.jpg","HIKING",100
"Outdoor Explorer's Camping Tent","Outdoor Explorer's Camping Tent provides excellent weather protection, space for 4 people, quick setup.",200.99,"https://example.com/hiking4.jpg","HIKING",100
"Rugged Trail Hiking Socks","Rugged Trail Hiking Socks ensure comfort and dryness during long hikes. Reinforced for durability, padded for comfort.",15.99,"https://example.com/hiking5.jpg","HIKING",100
"Hiker's Hydration Pack","Stay hydrated with the Hiker's Hydration Pack. Features a 2L water reservoir, lightweight design, adjustable straps.",39.99,"https://example.com/hiking6.jpg","HIKING",100
"PeakComfort Sleeping Bag","Sleep comfortably outdoors with the PeakComfort Sleeping Bag. Warm, spacious and lightweight, ideal for hiking trips.",70.99,"https://example.com/hiking7.jpg","HIKING",100
"ProTrek Hiking Shorts","ProTrek Hiking Shorts offer comfort, flexibility, and durability for all your hiking adventures. Quick-dry fabric.",45.99,"https://example.com/hiking8.jpg","HIKING",100
"SunShield Hiker's Hat","Protect yourself from sun with the SunShield Hiker's Hat. Breathable fabric, wide brim for superior coverage.",25.99,"https://example.com/hiking9.jpg","HIKING",100
"TrailBlazer GPS Tracker","Never get lost with the TrailBlazer GPS Tracker. Reliable satellite connection, features topographical maps.",130.99,"https://example.com/hiking10.jpg","HIKING",100
"CourtMaster Basketball Shoes","Dominate the court with CourtMaster Basketball Shoes. Designed for explosive speed, control and comfort.",115.99,"https://example.com/basketball1.jpg","BASKETBALL",100
"HoopShot Basketball","Up your game with the HoopShot Basketball. Designed for optimal roundness, excellent grip and durability.",30.99,"https://example.com/basketball2.jpg","BASKETBALL",100
"SlamDunk Basketball Jersey","Stay cool with the SlamDunk Basketball Jersey. Designed for comfort, durability and style on the court.",50.99,"https://example.com/basketball3.jpg","BASKETBALL",100
"BasketPro Ankle Support","Protect your ankles with BasketPro Ankle Support. Comfortable fit, provides excellent support and flexibility.",30.99,"https://example.com/basketball4.jpg","BASKETBALL",100
"ScoreKing Basketball Shorts","Score in comfort with ScoreKing Basketball Shorts. Lightweight, breathable fabric for optimal performance.",45.99,"https://example.com/basketball5.jpg","BASKETBALL",100
